_id,YEAR,CATEGORY,TYPE,COUNT_
370,2018,Guns Reported Stolen to TPS,Air Gun,5
371,2018,Guns Reported Stolen to TPS,Handgun,10
372,2018,Guns Reported Stolen to TPS,Shotgun,6
373,2018,Guns Reported Stolen to TPS,Rifle,2
374,2018,Firearm Thefts - Premise Type,Residential,9
375,2018,Firearm Thefts - Premise Type,Vehicle,5
376,2018,Firearm Thefts - Premise Type,Commercial,2
377,2018,Gun Seizures,Crime,831
378,2018,Gun Seizures,Non-Crime,1469
379,2018,Crime Guns - Type,Pistol,429
380,2018,Crime Guns - Type,Air Gun,157
381,2018,Crime Guns - Type,Rifle,60
382,2018,Crime Guns - Type,Revolver,56
383,2018,Crime Guns - Type,Shotgun,31
384,2018,Crime Guns - Type,Sawed-off Shotgun,29
385,2018,Crime Guns - Type,Other,25
386,2018,Crime Guns - Type,Toy Gun,16
387,2018,Crime Guns - Type,Sawed-off Rifle,14
388,2018,Crime Guns - Type,Antique,11
389,2018,Crime Guns - Type,Derringer,2
390,2018,Crime Guns - Type,Commercial Version,1
391,2018,Crime Guns - Class,Prohibited,393
392,2018,Crime Guns - Class,Deemed Non-Firearm,192
393,2018,Crime Guns - Class,Restricted,155
394,2018,Crime Guns - Class,Non-Restricted,80
395,2018,Crime Guns - Class,Antique,11
396,2018,Recovered Firearms,Toronto,3
397,2018,Recovered Firearms,Outside Toronto,30
398,2018,Firearm Types Stolen & Recovered,Pistol,21
399,2018,Firearm Types Stolen & Recovered,Rifle,6
400,2018,Firearm Types Stolen & Recovered,Revolver,5
401,2021,Crime Guns - Class,Non-Restricted,63
402,2021,Crime Guns - Class,Antique,3
403,2021,Crime Guns - Class,Unknown,1
404,2021,Recovered Firearms,Toronto,4
405,2021,Recovered Firearms,Outside Toronto,12
406,2021,Firearm Types Stolen & Recovered,Pistol,13
407,2021,Firearm Types Stolen & Recovered,Revolver,2
408,2021,Firearm Types Stolen & Recovered,Rifle,1
409,2021,Firearm Types Stolen & Recovered,Shotgun,
410,2022,Firearms Seized,Pistol,668
411,2022,Firearms Seized,Revolver,117
412,2022,Firearms Seized,Rifle,425
413,2022,Firearms Seized,Shotgun,200
414,2022,Firearms Seized,Sawed-off Shotgun,8
415,2022,Firearms Seized,Sawed-off Rifle,5
416,2022,Firearms Seized,Submachine Gun,3
417,2022,Firearms Seized,Antique,13
418,2022,Firearms Seized,Commercial Version,2
419,2022,Firearms Seized,Combination Gun,1
420,2022,Firearms Seized,Air Gun,563
421,2022,Firearms Seized,Starter's Pistol,29
422,2022,Firearms Seized,Other,30
423,2022,Firearms Seized,Toy Gun,38
424,2022,Firearms Seized,Replica,37
425,2022,Crime Guns - Class,Prohibited,378
426,2022,Crime Guns - Class,Restricted,173
427,2022,Crime Guns - Class,Non-Restricted,39
428,2022,Crime Guns - Class,Deemed Non-Firearm,84
429,2022,Crime Guns - Class,Antique,1
430,2022,Crime Guns - Type,Pistol,490
431,2022,Crime Guns - Type,Revolver,24
432,2022,Crime Guns - Type,Rifle,29
433,2022,Crime Guns - Type,Shotgun,13
434,2022,Crime Guns - Type,Sawed-off Shotgun,8
435,2022,Crime Guns - Type,Sawed-off Rifle,4
436,2022,Crime Guns - Type,Combination Gun,1
437,2022,Crime Guns - Type,Commercial Version,6
438,2022,Crime Guns - Type,Air Gun,73
439,2022,Crime Guns - Type,Starter's Pistol,3
440,2022,Crime Guns - Type,Toy Gun,9
441,2022,Crime Guns - Type,Replica,2
442,2022,Crime Guns - Type,Other,13
443,2022,Firearm Thefts - Premise Type,Commercial,5
444,2022,Firearm Thefts - Premise Type,Residence,3
445,2022,Firearm Thefts - Premise Type,Vehicle,3
446,2022,Firearm Types Stolen & Recovered,Pistol,12
447,2022,Firearm Types Stolen & Recovered,Revolver,1
448,2022,Firearm Types Stolen & Recovered,Shotgun,1
449,2022,Firearm Types Stolen & Recovered,Rifle,1
450,2022,Gun Seizures,Crime,675
451,2022,Gun Seizures,Non-Crime,1464
452,2022,Recovered Firearms,Toronto,4
453,2022,Recovered Firearms,Outside Toronto,11
454,2022,Guns Reported Stolen to TPS,Handgun,20
455,2022,Guns Reported Stolen to TPS,Rifle,4
456,2022,Guns Reported Stolen to TPS,Shotgun,2
457,2022,Guns Reported Stolen to TPS,Air Gun,4
458,2022,Guns Reported Stolen to TPS,Replica,1
459,2023,Firearms Seized,Pistol,479
460,2023,Firearms Seized,Revolver,54
461,2023,Firearms Seized,Rifle,188
462,2023,Firearms Seized,Shotgun,105
463,2023,Firearms Seized,Sawed-off Shotgun,8
464,2023,Firearms Seized,Sawed-off Rifle,3
465,2023,Firearms Seized,Commercial Version,3
466,2023,Firearms Seized,Combination Gun,1
467,2023,Firearms Seized,Air Gun,394
468,2023,Firearms Seized,Starter's Pistol,13
469,2023,Firearms Seized,Other,14
470,2023,Firearms Seized,Toy Gun,57
471,2023,Firearms Seized,Replica,1
472,2023,Crime Guns - Type,Pistol,378
473,2023,Crime Guns - Type,Revolver,19
474,2023,Crime Guns - Type,Rifle,34
475,2023,Crime Guns - Type,Shotgun,21
476,2023,Crime Guns - Type,Sawed-off Rifle,3
477,2023,Crime Guns - Type,Sawed-off Shotgun,8
478,2023,Crime Guns - Type,Commercial Version,2
479,2023,Crime Guns - Type,Combination Gun,1
480,2023,Crime Guns - Type,Air Gun,84
481,2023,Crime Guns - Type,Other,1
482,2023,Crime Guns - Type,Toy Gun,33
483,2023,Crime Guns - Type,Starter's Pistol,6
484,2023,Crime Guns - Class,Prohibited,298
485,2023,Crime Guns - Class,Restricted,117
486,2023,Crime Guns - Class,Non-Restricted,51
